ACCIDENT_NO,VEHICLE_ID,VEHICLE_YEAR_MANUF,VEHICLE_DCA_CODE,INITIAL_DIRECTION,ROAD_SURFACE_TYPE,ROAD_SURFACE_TYPE_DESC,REG_STATE,VEHICLE_BODY_STYLE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_POWER,VEHICLE_TYPE,VEHICLE_TYPE_DESC,VEHICLE_WEIGHT,CONSTRUCTION_TYPE,FUEL_TYPE,NO_OF_WHEELS,NO_OF_CYLINDERS,SEATING_CAPACITY,TARE_WEIGHT,TOTAL_NO_OCCUPANTS,CARRY_CAPACITY,CUBIC_CAPACITY,FINAL_DIRECTION,DRIVER_INTENT,VEHICLE_MOVEMENT,TRAILER_TYPE,VEHICLE_COLOUR_1,VEHICLE_COLOUR_2,CAUGHT_FIRE,INITIAL_IMPACT,LAMPS,LEVEL_OF_DAMAGE,TOWED_AWAY_FLAG,TRAFFIC_CONTROL,TRAFFIC_CONTROL_DESC
T20120000131,A,1996,1,W,1,Paved,V,SEDAN,HYNDAI,EXCEL,,1,Car,,R,P,4,4,5,950,1,,,W,1,18,H,WHI,ZZ,2,F,9,3,1,0,No control
T20120000133,A,1999,1,E,1,Paved,V,SEDAN,DAEWOO,NUBIRA,,1,Car,,R,P,4,4,5,1300,1,,,E,1,1,H,BLU,ZZ,2,F,2,4,1,9,Roundabout
T20120000137,A,1998,1,SW,1,Paved,V,SEDAN,MITSUB,LANCER,,1,Car,,R,P,4,4,5,800,1,,,SW,1,1,H,GRN,ZZ,2,F,1,4,1,0,No control
T20120000138,A,1997,1,W,1,Paved,V,SEDAN,HYNDAI,EXCEL,,1,Car,,R,P,4,4,5,950,1,,,W,1,99,H,BLU,ZZ,2,1,2,5,1,0,No control
T20120000139,A,2011,8,W,1,Paved,V,WAGON,FORD,TERRIT,,2,Station Wagon,,R,D,4,6,7,1995,3,,,W,15,15,H,RED,ZZ,2,F,2,3,1,1,Stop-go lights
T20120000139,B,2002,2,S,1,Paved,V,SEDAN,FORD,FALCON,,1,Car,,R,M,4,6,5,1530,1,,,S,1,1,H,GLD,ZZ,2,F,2,5,1,1,Stop-go lights
T20120000139,C,2011,1,N,1,Paved,V,SEDAN,TOYOTA,COROLL,,1,Car,,R,P,4,4,5,1310,1,,,E,2,2,H,WHI,ZZ,2,5,2,5,1,1,Stop-go lights
T20120000141,A,2005,1,S,1,Paved,V,DC UTE,TOYOTA,HILUX,,4,Utility,2780,R,D,4,4,5,1835,1,945,,S,1,18,H,RED,ZZ,2,F,2,4,1,11,Giveway sign
T20120000142,A,2008,1,NW,1,Paved,V,SEDAN,NISSAN,TIIDA,,1,Car,,R,P,4,4,5,1200,1,,,NW,1,1,H,BLK,ZZ,2,F,0,3,1,1,Stop-go lights
T20120000142,B,1994,2,SW,1,Paved,V,,W STAR,5964S,,1,Car,,R,D,6,6,2,,3,,,SW,1,1,H,BLU,ZZ,2,5,0,3,1,1,Stop-go lights
